date,amount,category,description
10-01-2024,150,Income,Salary
12-01-2024,40,Expense,Coffee
25-01-2024,500,Income,Freelancing
05-02-2024,200,Expense,Groceries
18-02-2024,300,Income,Salary
22-02-2024,70,Expense,Books
05-03-2024,250,Income,Freelancing
10-03-2024,60,Expense,Lunch
15-03-2024,400,Income,Salary
28-03-2024,80,Expense,Movies
02-04-2024,350,Income,Salary
10-04-2024,25,Expense,Snacks
18-04-2024,450,Income,Freelancing
05-05-2024,30,Expense,Snacks
10-05-2024,300,Income,Salary
20-05-2024,100,Expense,Gas
02-06-2024,200,Income,Freelancing
12-06-2024,50,Expense,Snacks
20-06-2024,350,Income,Salary
15-07-2024,80,Expense,Groceries
25-07-2024,400,Income,Freelancing
02-08-2024,30,Expense,Lunch
10-08-2024,350,Income,Salary
20-08-2024,120,Expense,Groceries
01-09-2024,200,Income,Freelancing
15-09-2024,90,Expense,Snacks
25-09-2024,500,Income,Salary
05-10-2024,70,Expense,Gas
15-10-2024,350,Income,Freelancing
01-11-2024,100,Expense,Snacks
10-11-2024,300,Income,Salary
20-11-2024,150,Expense,Books
05-12-2024,450,Income,Freelancing
12-12-2024,200,Expense,Dinner
20-12-2024,400,Income,Salary
31-12-2024,120,Expense,Snacks
